class_id,source_name,split,instances,unique_source_groups
0,apple,train,740,149
0,apple,val,89,9
0,apple,test,152,16
1,banana,train,1014,168
1,banana,val,176,22
1,banana,test,256,32
2,beef,train,646,129
2,beef,val,128,16
2,beef,test,80,10
3,blueberries,train,934,164
3,blueberries,val,144,18
3,blueberries,test,176,22
4,bread,train,621,138
4,bread,val,64,8
4,bread,test,8,1
5,butter,train,803,138
5,butter,val,201,26
5,butter,test,264,33
6,carrot,train,885,149
6,carrot,val,184,23
6,carrot,test,376,31
7,cheese,train,1447,250
7,cheese,val,200,25
7,cheese,test,200,25
8,chicken,train,924,168
8,chicken,val,224,28
8,chicken,test,208,26
9,chicken_breast,train,604,128
9,chicken_breast,val,64,8
9,chicken_breast,test,16,2
10,chocolate,train,390,82
10,chocolate,val,56,7
10,chocolate,test,16,2
11,corn,train,1032,186
11,corn,val,160,20
11,corn,test,241,31
12,eggs,train,938,210
12,eggs,val,73,10
12,eggs,test,16,2
13,flour,train,1319,219
13,flour,val,177,20
13,flour,test,184,20
14,goat_cheese,train,394,59
14,goat_cheese,val,104,13
14,goat_cheese,test,272,34
15,green_beans,train,1080,198
15,green_beans,val,128,16
15,green_beans,test,216,27
16,ground_beef,train,598,115
16,ground_beef,val,88,11
16,ground_beef,test,72,9
17,ham,train,295,43
17,ham,val,152,19
17,ham,test,152,19
18,heavy_cream,train,881,153
18,heavy_cream,val,169,22
18,heavy_cream,test,224,28
19,lime,train,800,133
19,lime,val,168,16
19,lime,test,224,25
20,milk,train,1044,176
20,milk,val,104,11
20,milk,test,288,21
21,mushrooms,train,1077,195
21,mushrooms,val,136,17
21,mushrooms,test,136,17
22,onion,train,908,167
22,onion,val,177,23
22,onion,test,257,33
23,potato,train,1420,252
23,potato,val,153,20
23,potato,test,217,28
24,shrimp,train,1175,196
24,shrimp,val,160,20
24,shrimp,test,177,23
25,spinach,train,992,166
25,spinach,val,120,15
25,spinach,test,217,28
26,strawberries,train,1490,252
26,strawberries,val,168,21
26,strawberries,test,256,32
27,sugar,train,1407,221
27,sugar,val,170,14
27,sugar,test,344,28
28,sweet_potato,train,963,140
28,sweet_potato,val,128,16
28,sweet_potato,test,209,27
29,tomato,train,1469,244
29,tomato,val,240,30
29,tomato,test,249,32
